município;mês;Quantidade
Abadia de Goiás           ;Novembro de 2021    ;1
Abadia de Goiás           ;Agosto de 2022      ;1
Abadia de Goiás           ;Maio de 2023        ;1
Abadia de Goiás           ;Setembro de 2023    ;1
Abadia de Goiás           ;Setembro de 2023    ;1
Abadia de Goiás           ;Setembro de 2023    ;1
Abadia de Goiás           ;Outubro de 2023     ;1
Abadia de Goiás           ;Novembro de 2023    ;1
Abadia de Goiás           ;Fevereiro de 2024   ;1
Abadiânia                 ;Setembro de 2021    ;1
Abadiânia                 ;Março de 2022       ;1
Abadiânia                 ;Abril de 2022       ;1
Abadiânia                 ;Abril de 2022       ;1
Abadiânia                 ;Abril de 2022       ;1
Abadiânia                 ;Maio de 2022        ;1
Abadiânia                 ;Junho de 2022       ;1
Abadiânia                 ;Junho de 2022       ;1
Abadiânia                 ;Julho de 2022       ;1
Abadiânia                 ;Julho de 2022       ;1
Abadiânia                 ;Agosto de 2022      ;1
Abadiânia                 ;Novembro de 2022    ;1
Abadiânia                 ;Maio de 2023        ;1
Acreúna                   ;Janeiro de 2021     ;1
Acreúna                   ;Abril de 2022       ;1
Acreúna                   ;Agosto de 2022      ;1
Acreúna                   ;Janeiro de 2023     ;1
Acreúna                   ;Agosto de 2023      ;1
Adelândia                 ;Dezembro de 2021    ;1
Adelândia                 ;Janeiro de 2024     ;1
Águas Lindas de Goiás     ;Fevereiro de 2021   ;1
Águas Lindas de Goiás     ;Março de 2021       ;1
Águas Lindas de Goiás     ;Março de 2021       ;1
Águas Lindas de Goiás     ;Abril de 2021       ;1
Águas Lindas de Goiás     ;Maio de 2021        ;1
Águas Lindas de Goiás     ;Junho de 2021       ;1
Águas Lindas de Goiás     ;Junho de 2021       ;1
Águas Lindas de Goiás     ;Julho de 2021       ;1
Águas Lindas de Goiás     ;Julho de 2021       ;1
Águas Lindas de Goiás     ;Agosto de 2021      ;1
Águas Lindas de Goiás     ;Setembro de 2021    ;1
Águas Lindas de Goiás     ;Dezembro de 2021    ;1
Águas Lindas de Goiás     ;Dezembro de 2021    ;1
Águas Lindas de Goiás     ;Março de 2022       ;1
Águas Lindas de Goiás     ;Março de 2022       ;1
Águas Lindas de Goiás     ;Abril de 2022       ;1
Águas Lindas de Goiás     ;Junho de 2022       ;1
Águas Lindas de Goiás     ;Agosto de 2022      ;1
Águas Lindas de Goiás     ;Agosto de 2022      ;1
Águas Lindas de Goiás     ;Agosto de 2022      ;1
Águas Lindas de Goiás     ;Setembro de 2022    ;1
Águas Lindas de Goiás     ;Setembro de 2022    ;1
Águas Lindas de Goiás     ;Outubro de 2022     ;2
Águas Lindas de Goiás     ;Novembro de 2022    ;1
Águas Lindas de Goiás     ;Novembro de 2022    ;1
Águas Lindas de Goiás     ;Novembro de 2022    ;1
Águas Lindas de Goiás     ;Dezembro de 2022    ;1
Águas Lindas de Goiás     ;Janeiro de 2023     ;1
Águas Lindas de Goiás     ;Fevereiro de 2023   ;1
Águas Lindas de Goiás     ;Fevereiro de 2023   ;1
Águas Lindas de Goiás     ;Fevereiro de 2023   ;1
Águas Lindas de Goiás     ;Março de 2023       ;1
Águas Lindas de Goiás     ;Março de 2023       ;1
Águas Lindas de Goiás     ;Abril de 2023       ;1
Águas Lindas de Goiás     ;Abril de 2023       ;1
Águas Lindas de Goiás     ;Abril de 2023       ;1
